"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Parsing a complex arithmetic integer expression -- @1.6 ","","Tue Apr 29 10:09:03 GMT 2025","passed","Tue Apr 29 10:09:03 GMT 2025","","","",""
"","1","Parsing complex expressions with parentheses -- @1.1 ","","Tue Apr 29 10:09:03 GMT 2025","passed","Tue Apr 29 10:09:03 GMT 2025","","","",""
"","2","Parsing a simple arithmetic integer expression -- @1.7 ","","Tue Apr 29 10:09:03 GMT 2025","passed","Tue Apr 29 10:09:03 GMT 2025","","","",""
"","1","Evaluating arithmetic operations with two integer parameters -- @1.3 ","","Tue Apr 29 10:09:03 GMT 2025","passed","Tue Apr 29 10:09:03 GMT 2025","","","",""
"","1","Parsing complex number expressions -- @1.10 ","","Tue Apr 29 10:09:03 GMT 2025","passed","Tue Apr 29 10:09:03 GMT 2025","","","",""
"","1","Dividing complex numbers","","Tue Apr 29 10:09:03 GMT 2025","passed","Tue Apr 29 10:09:03 GMT 2025","","","",""
"","1","Parsing complex number expressions -- @1.3 ","","Tue Apr 29 10:09:03 GMT 2025","passed","Tue Apr 29 10:09:03 GMT 2025","","","",""
"","1","Parsing complex expressions with parentheses -- @1.2 ","","Tue Apr 29 10:09:03 GMT 2025","passed","Tue Apr 29 10:09:03 GMT 2025","","","",""
"","1","Parsing complex number expressions -- @1.9 ","","Tue Apr 29 10:09:03 GMT 2025","passed","Tue Apr 29 10:09:03 GMT 2025","","","",""
"","1","Parsing complex number expressions -- @1.2 ","","Tue Apr 29 10:09:03 GMT 2025","passed","Tue Apr 29 10:09:03 GMT 2025","","","",""
"","2","Subtracting two rational numbers","","Tue Apr 29 10:09:03 GMT 2025","passed","Tue Apr 29 10:09:03 GMT 2025","","","",""
"","2","Adding two integer numbers","","Tue Apr 29 10:09:03 GMT 2025","passed","Tue Apr 29 10:09:03 GMT 2025","","","",""
"","1","Simplification of rational result","","Tue Apr 29 10:09:03 GMT 2025","passed","Tue Apr 29 10:09:03 GMT 2025","","","",""
"","2","Testing the output notation of composite expressions with a hierarchy depth higher than one -- @1.1 ","","Tue Apr 29 10:09:03 GMT 2025","passed","Tue Apr 29 10:09:03 GMT 2025","","","",""
"","1","Dividing two rational numbers","","Tue Apr 29 10:09:03 GMT 2025","passed","Tue Apr 29 10:09:03 GMT 2025","","","",""
"","1","Adding a negative real number","","Tue Apr 29 10:09:03 GMT 2025","passed","Tue Apr 29 10:09:03 GMT 2025","","","",""
"","1","Parsing simple real number expressions -- @1.12 ","","Tue Apr 29 10:09:03 GMT 2025","passed","Tue Apr 29 10:09:03 GMT 2025","","","",""
"","1","Parsing mixed real and complex expressions -- @1.3 ","","Tue Apr 29 10:09:03 GMT 2025","passed","Tue Apr 29 10:09:03 GMT 2025","","","",""
