"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","1","","","","","","Dividing two integer numbers -- @1.1 ",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","2","","","","","","Evaluating arithmetic operations with two integer parameters -- @1.4 ",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","2","","","","","","Evaluating composite expressions with a hierarchy depth higher than one -- @1.3 ",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","2","","","","","","Evaluating composite expressions with a hierarchy depth higher than one -- @1.1 ",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","2","","","","","","Dividing two integer numbers",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","1","","","","","","Adding two integer numbers -- @1.1 ",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","2","","","","","","Evaluating composite expressions with a hierarchy depth higher than one -- @1.4 ",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","2","","","","","","Adding two integer numbers -- @1.2 ",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","2","","","","","","Evaluating composite expressions with a hierarchy depth higher than one -- @1.2 ",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","1","","","","","","Dividing by zero",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","1","","","","","","Evaluating arithmetic operations with two integer parameters -- @1.1 ",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","1","","","","","","Printing the sum of two integer numbers",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","2","","","","","","Multiplying two integer numbers",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","2","","","","","","Evaluating composite expressions with a hierarchy depth higher than one -- @1.5 ",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","3","","","","","","Adding two integer numbers",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","1","","","","","","Subtracting two integer numbers",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","1","","","","","","Dividing two integer numbers -- @1.2 ",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","2","","","","","","Evaluating arithmetic operations with two integer parameters -- @1.3 ",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","1","","","","","","Evaluation arithmetic operations over a list of integer numbers",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","2","","","","","","Testing the output notation of composite expressions with a hierarchy depth higher than one -- @1.1 ",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","2","","","","","","Dividing two integer numbers -- @1.3 ",""
"passed","Wed Apr 23 10:25:39 GMT 2025","Wed Apr 23 10:25:39 GMT 2025","2","","","","","","Evaluating arithmetic operations with two integer parameters -- @1.2 ",""
